"URL","Titel","Land","Beschreibung","Ort","Bezug","Staatlich_Öffentlich","Geoportal","GDI","lon","lat"
"http://www.hamburg.de/gdi-hh","GDI Hamburg","Deutschland","","Hamburg","regional","ja","ja","ja",9.99420878276951,53.5735436830423
"http://daten.hamburg.de/","Transparenzportal Hamburg","Deutschland","","Hamburg","regional","ja","","",9.9931557331817,53.5286254398998
"https://www.opendata-hro.de/","OpenData.HRO","Deutschland","","Hansestadt Rostock","kommunal","ja","","",12.0991466047391,54.0924406051697
"http://www.herne.de/kommunen/herne/ttw.nsf/id/DE_Open-Data","Herne Open Data","Deutschland","","Herne","kommunal","ja","","",7.21707561721407,51.4593404619352
"http://www.geoportal.hessen.de/","GDI Hessen","Deutschland","","Hessen","regional","ja","ja","ja",9.16243760241574,50.6520515050229
"http://opendata.jena.de/","Jena OpenData","Deutschland","","Jena","kommunal","ja","","",11.5881048049388,50.9279397048426
"https://www.offenesdatenportal.de/organization/kreis-kleve","Kreis Kleve Open Data","Deutschland","","Kleve","kommunal","ja","","",6.12949999911489,51.7867000054142
"https://www.offenesdatenportal.de/organization/stadt-kleve","Stadt Kleve Open Data","Deutschland","","Kleve","kommunal","ja","","",6.58411925761596,51.3612509266011
"https://www.offenedaten-koeln.de/","Offene Daten Köln","Deutschland","","Köln","kommunal","ja","","",6.96027859999869,50.9375310052012
"https://www.offenesdatenportal.de/organization/krefeld","Krefeld Open Data","Deutschland","","Krefeld","kommunal","ja","","",6.6169243798604,51.3282102110324
"https://opendata.leipzig.de/de/dataset","Leipzig Open Data","Deutschland","","Leibzig","kommunal","ja","","",12.3731000056445,51.3397000047446
"https://open.lklg.net/","Open Data Portal Lüneburg","Deutschland","","Lüneburg","kommunal","ja","","",10.411517903405,53.2464214055177
