name,description,lon,lat,url,open_data_url
Hochspeyer,,7.8965283,49.4440075,NA,NA
Hof,,11.9178807,50.3219015,NA,NA
Hönningen,,6.9571651,50.4722745,NA,NA
Hornbach,,7.3687796,49.1875373,NA,NA
Hörsel,,10.57165746,50.94415305,http://hoersel.de,NA
Hügelsheim,,8.10981773,48.7988149,http://huegelsheim.de,NA
Idar-Oberstein,,7.313321,49.7106197,NA,NA
Ilmenau,,10.9142385,50.6867695,NA,NA
Iserlohn,,7.7001689,51.3728716,http://iserlohn.de,NA
Jugend Hackt,,NA,NA,NA,NA
Juist,,6.9956079,53.6784483,NA,NA
Kaiserslautern,,7.7689951,49.4432174,http://kaiserslautern.de,NA
Kaltenkirchen,,9.9614889,53.8371714,http://kaltenkirchen.de,NA
Karlsruhe,,8.4041208,49.0105758,http://karlsruhe.de,NA
Kassel,,9.4762981,51.3090209,http://kassel.de,NA
Kausen,,7.868058,50.7415625,NA,NA
Kiel,,10.14440233,54.3418225,http://kiel.de,NA
Klein-Winternheim,,8.2127574,49.9397907,NA,NA
Kleve,,6.1408,51.7987,NA,NA
Klotten,,7.2003745,50.1641546,NA,NA
Klüsserath,,6.8502063,49.8436701,NA,NA
Koblenz,,7.58400984250468,50.34624975,NA,NA
Köln,,6.95495255522418,50.9577031,http://stadt-koeln.de,http://offenedaten-koeln.de
Königsee,,11.09981911,50.6720312,http://koenigsee.de,NA
Kottenheim,,7.2547868,50.3481315,NA,NA
Krefeld,,6.5920,51.3454,NA,NA
Kreis Kleve,,6.2183,51.7862,NA,NA
Kreis Viersen,,6.3609,51.2694,NA,NA
Kreis Wesel,,6.617087,51.6576909,http://kreis-wesel.de,NA
Lahnstein,,7.6044602,50.3090305,NA,NA
Laudert,,7.6032905,50.0775557,NA,NA
Laufeld,,6.8644499,50.0792259,NA,NA
Laupheim,,9.8771587,48.2305342,http://laupheim.de,NA
Leipzig,,12.3747049,51.340462,http://leipzig.de,NA
Leverkusen,,6.9881194,51.0324743,http://leverkusen.de,NA
Ludwigsburg,,9.1895802,48.8955078,http://ludwigsburg.de,NA
Ludwigsburg,,9.1895802,48.8955078,http://landkreis-ludwigsburg.de,NA
Lüneburg,,10.4076954,53.2486018,http://lueneburg.de,NA
Lünen,,7.5239978,51.6140848,http://luenen.de,NA
Magdeburg,,11.6289301,52.1261437,http://magdeburg.de,NA
Mainz,,8.2710237,49.9999952,http://mainz.de,NA
Mannheim,,8.4672361,49.4895914,http://mannheim.de,NA
Marl,,7.0968119,51.6555514,http://marl.de,NA
Marxzell,,8.4488303,48.8617614,http://marxzell.de,NA
Max-Planck-Instituts für Wissenschaftsgeschichte,Auswahl von historischen Quellen aus der Sammlung des Max-Planck-Instituts für Wissenschaftsgeschichte Berlin.,13.277777777778,52.445277777778,https://www.mpiwg-berlin.mpg.de/de/ressourcen/index.html,NA
Mayschoß,,7.0198281,50.5234776,NA,NA
Mertesheim,,8.1335199,49.5700371,NA,NA
Mettmann,,6.9777778,51.2527778,http://kreis-mettmann.de,NA
Modautal,,8.72083,49.7606,http://modautal.de,NA
Moers,,6.6284302,51.4512826,http://moers.de,http://offenedaten.moers.de
MOGDy München,Im Rahmen des Munich Open Government Day wurden verschiedene Datensätze der Landeshauptstadt München durch das Statistische Amt als Open Data freigegeben und bereitgestellt. Die Mehrheit entstammt der Datenbank des Statistikamtes (ZIMAS).,11.575833333333,48.1375,http://www.muenchen.de/rathaus/Stadtverwaltung/Direktorium/IT-Beauftragte/Projekt-E--und-Open-Government/MOGDy.html,NA
"Monheim, St",,10.8562708,48.8423558,http://monheim-bayern.de,NA
Mülheim an der Ruhr,,6.880751937,51.4110583,http://muelheim-ruhr.de,NA
München,,11.5754815,48.1372719,http://muenchen.de,http://www.opengov-muenchen.de
Münster,,7.6251879,51.9625101,http://muenster.de,http://www.muenster.de/stadt/katasteramt/geodatenmanagement.html
Mutterstadt,,8.3542306,49.4422445,NA,https://1drv.ms/p/s!AjBKzN5-m28xdp-WOjtwSwi13mE
Nationalpark Harz,,10.5828622707056,51.78459855,NA,NA
Neunkirchen-Seelscheid,,7.345326105,50.8574489,http://nk-se.de,NA
Neuwied,,7.4663112,50.4302589,NA,NA
Neu Wulmstorf,,9.8,53.4667,http://neu-wulmstorf.de,NA
Nidderau,,8.875167,50.2282472,http://nidderau.de,NA
Niederfischbach,,7.8804934,50.856157,NA,NA
Niederhorbach,,8.0327863,49.1160541,NA,NA
Nierstein,,8.3365369,49.8710847,NA,NA
Norden,,7.2067435,53.5942039,NA,NA
Norderney,,7.23577947730025,53.7122885,NA,NA
Nürnberg,,11.0772978,49.4538723,http://nuernberg.de,NA
Oberkirch,,8.0783998,48.5307122,http://oberkirch.de,NA
"Oberviechtach, St",,12.4190177,49.4603475,http://oberviechtach.de,NA
Oberwesel,,7.726558,50.1060039,NA,NA
Oerlenbach,,6.3835071,50.1582555,http://oerlenbach.de,NA
OK Lab München,Platz für Daten für Hackathons etc.,NA,NA,NA,NA
Open Knowledge Foundation Deutschland,"Die Open Knowledge Foundation Deutschland ist ein gemeinnütziger Verein, der sich für offenes Wissen, offene Daten, Transparenz und Beteiligung einsetzt.",13.4251999,52.5169347,http://www.okfn.de,NA
Otterbach,,7.737771,49.4861803,NA,NA
Pfalzfeld,,7.5789176,50.1127052,NA,NA
Pirmasens,,7.6087847,49.1996961,NA,NA
Plaidt,,7.3904512,50.3924191,NA,NA
Potsdam,,13.02407591,52.42822535,http://potsdam.de,NA
