"","Name","Organisation","Country","Pays","Pais","URL","Description","Location","Latitude","Longitude","has_issue","issue_type","code_en","code_fr","country_slug","code_es","Land"
"1816","Baden-Württemberg Data Portal","Landesregierung Baden-Württemberg","Germany","Allemagne","Alemania","https://opendata.service-bw.de/home","Launched March 2012, a Sharepoint based data portal, for the German federal state Baden-Wuerttemberg.

The catalogue holds datasets under different OKD Compliant and OKD Non-Compliant Licenses.","48.7758, 9.1829","48.7758","01/09/1829","","","Germany - Baden-Württemberg Data Portal","Allemagne - Baden-Württemberg Data Portal","germany","Alemania - Baden-Württemberg Data Portal","Deutschland"
"2741","Kiel Open Data","Germany","Germany","Allemagne","Alemania","http://www.kiel.de/rathaus/statistik/open_data/index.php","Open Data der Kieler Stadtverwaltung","54.3233, 10.1228","54.3233","01/10/1228","","","Germany - Kiel Open Data","Allemagne - Kiel Open Data","germany","Alemania - Kiel Open Data","Deutschland"
