URL,Titel,Land,lat,lon,Beschreibung,Ort,Bezug,Staatlich_Öffentlich,Geoportal,Lizenz
https://offenedaten.de/organization/salzgitter,Salzgitter,Deutschland,52.1379,10.3899,,Salzgitter,kommunal,ja,,NA
https://www.offenesdatenportal.de/organization/stadt-kleve,Stadt Kleve Open Data,Deutschland,51.3388,6.5853,,Kleve,kommunal,ja,,NA
https://www.offenesdatenportal.de/organization/stadt-wesel,Stadt Wesel am Rhein Open Data,Deutschland,51.6643,6.6296,,Wesel,kommunal,ja,,NA
http://segelflug.de/vereine/welt2000/,Welt 2000 Airports/waypoints,Deutschland,52.5243681651,13.4105300903,,Deutschland,international,nein,,NA
http://www.geodatenzentrum.de/geodaten/gdz_rahmen.gdz_div?gdz_spr=deu&gdz_akt_zeile=5&gdz_anz_zeile=0&gdz_user_id=0,Bundesamt für Kartographie und Geodäsie,Deutschland,51.165691,10.451526,Freie Daten und Dienste des BKG,Deutschland,national,ja,ja,NA
https://code-de.org/,CODE-DE,Deutschland,51.165691,10.451526,Copernicus Data and Exploitation Platform – Deutschland,Deutschland,national,teilweise,ja,NA
http://www.geoportal.de/,Geoportal.de - Geodaten aus Deutschland – GDI-DE,Deutschland,51.165691,10.451526,,Deutschland,national,ja,ja,NA
https://www.govdata.de/,GovData - das Datenportal für Deutschland,Deutschland,51.165691,10.451526,,Deutschland,national,ja,,NA
https://www.mcloud.de/,mCloud,Deutschland,51.165691,10.451526,Die mCLOUD ist eine Rechercheplattform zu offenen Daten aus dem Bereich Mobilität und angrenzender Themen. ,Deutschland,national,ja,,NA
http://daten.berlin.de/,Offene Daten Berlin,Deutschland,52.5200066,13.404954,,Berlin,regional,ja,,NA
http://www.geoportal-th.de/de-de/downloadbereiche/downloadoffenegeodatenth%C3%BCringen.aspx,Offene Geodaten Thüringen,Deutschland,51.0109892,10.845346,,Thüringen,regional,ja,ja,NA
http://www.opendata.sachsen.de/Daten_finden.htm,Open Data - Verfügbare Datenbestände des Freistaats Sachsen,Deutschland,51.1045407,13.2017384,,Sachsen,regional,ja,,NA
https://open.nrw/de/dat_kat,Open Data | Open.NRW,Deutschland,51.4332367,7.6615938,,Nordrhein-Westfalen,regional,ja,,NA
https://opendata.bayern.de/,Open Data Portal des Freistaats Bayern,Deutschland,48.7904472,11.4978895,,Bayern,regional,ja,,NA
https://daten.rlp.de/,Open-Government-Data-Portal Rheinland-Pfalz,Deutschland,50.118346,7.3089527,,Rheinland-Pfalz,regional,ja,,NA
http://transparenz.bremen.de/,Transparenzportal Bremen,Deutschland,53.0792962,8.8016936,,Bremen,regional,ja,,NA
http://daten.hamburg.de/,Transparenzportal Hamburg,Deutschland,53.5510846,9.9936819,,Hamburg,regional,ja,,NA
https://open-data.europa.eu/de/about,Offenes Datenportal der EU,Europa,48.5948367,7.7719195,,Europa,international,ja,,NA
http://data.gv.at/,Austrian Government Open Data,Österreich,48.2,16.35,,Österreich,national,ja,,NA
http://basemap.at/,Austrian Ogd Basemap,Österreich,48.2,16.35,,Österreich,national,ja,ja,NA
http://umweltbundesamt.at/opendata/,Umweltbundesamt: OpenData Portal,Österreich,48.2,16.35,,Österreich,national,ja,,NA
https://www.geologie.ac.at/en/,Geologische Bundesanstalt,Österreich,48.2,16.35,,Österreich,national,ja,ja,NA
http://data.graz.gv.at/,Graz Open Data,Österreich,47.0666667,15.45,,Graz,kommunal,ja,,NA
http://inspire.gv.at/,INSPIRE Austria,Österreich,48.2099296,16.3807722,,Österreich,national,nein,ja,NA
http://data.ktn.gv.at/,Kärnten Open Data,Österreich,46761,13819,,Kärnten,regional,ja,,NA
http://data.reeep.org/,Linked Clean Energy Data - Data.reegle.info,Österreich,48.2208286,16.2399771,,Österreich,international,nein,,NA
http://data.linz.gv.at/,Linz Open Data,Österreich,48.3063888888,14.286111111,,Linz,kommunal,ja,,NA
http://data.noe.gv.at/,Niederösterreich (lower Austria) Open Data,Österreich,48.3333,15.75,,Niederösterreich,regional,ja,,NA
http://opendataportal.at/,Open Data Portal Austria,Österreich,48.2018644,16.3533064,,NA,national,nein,,NA
http://data.wien.gv.at/,Open Government Data Wien,Österreich,48.2084877602,16.3720750809,,Wien,regional,ja,,NA
http://statistik.at/,Statistik Austria,Österreich,48.2,16.35,,Österreich,national,nein,,NA
http://data.tirol.gv.at/,Tirol Data Portal,Österreich,47.25,11.3333333,,Tirol,regional,ja,,NA
http://data.vorarlberg.gv.at/,Vorarlberg Open Data,Österreich,47.25,9.9166667,,Voralberg,regional,ja,,NA
http://zamg.ac.at/,Zentralanstalt Für Meteorologie und Geodynamik,Österreich,48.2,16.35,,Österreich,national,ja,ja,NA
http://bis.org/statistics/,Bank For International Settlements Statistics,Schweiz,47.5667,7.6,,Schweiz,international,nein,,NA
http://opendata.cern.ch/,Cern Open Data,Schweiz,46.2342,6.0528,,Schweiz,international,nein,,NA
http://meteoswiss.ch/,Meteoswiss,Schweiz,46.8333,8.3333,,Schweiz,national,ja,,NA
http://data.tpg.ch/,Open Data TPG,Schweiz,46.2050241,6.1090692,,Genf,regional,nein,,NA
http://ge.ch/sitg/sitg_catalog/sitg_donnees,Sitg Geneva's Territorial Information System,Schweiz,46.2,6.15,,Genf,regional,nein,ja,NA
http://www.bfs.admin.ch/,Bundesamt für Statistik,Schweiz,46.8333,8.3333,,Schweiz,national,ja,,NA
https://opendata.swiss,opendata.swiss,Schweiz,46.8333,8.3333,opendata.swiss ist das Portal für Schweizer Open Government Data (OGD). Hier können Sie Schweizer Behördendaten kostenlos herunterladen.,Schweiz,national,ja,,NA
https://www.wmo.int/,Weltorganisation für Meteorologie,Schweiz,46.2,6.15,,Genf,international,nein,,NA
https://data.stadt-zuerich.ch/,Zurich Open Data,Schweiz,47.3667,8.55,,Zürich,kommunal,ja,,NA
